Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2021-07-20;58,7618;59,2739;58,0399;58,8206;3.320.120;194.888.245
2021-07-19;59,6013;59,7524;57,6705;58,4512;4.030.093;236.030.933
2021-07-16;62,0021;62,0021;60,0546;60,2057;2.572.348;156.242.616
2021-07-15;62,5393;62,808;61,1123;61,4313;2.988.995;184.114.034
2021-07-14;61,3641;62,2371;61,0367;61,6999;1.971.213;121.940.774
2021-07-13;61,6999;61,9182;60,9948;61,2886;2.373.751;145.756.422
2021-07-12;61,0115;62,1952;59,8027;61,4984;3.218.279;196.456.488
2021-07-09;60,0546;61,3221;59,5509;61,1878;3.896.523;236.550.280
2021-07-08;60,2812;60,2812;58,5435;59,3746;4.335.818;256.633.622
2021-07-07;61,3557;61,7754;59,6264;60,7765;4.449.459;269.432.343
2021-07-06;63,7482;63,7482;60,9696;61,2046;3.659.258;226.241.612
2021-07-05;63,7062;64,0839;62,9003;63,723;1.674.663;106.481.900
2021-07-02;63,9328;64,5121;63,7985;63,9916;2.009.807;128.821.761
2021-07-01;63,5971;64,2434;63,2781;63,7901;2.178.396;138.908.306
2021-06-30;63,7985;64,0839;62,4554;63,2109;3.167.811;200.186.063
2021-06-29;63,7146;64,5624;63,6306;64,0336;2.037.439;130.593.473
2021-06-28;64,8059;65,3431;63,5719;63,765;2.865.165;183.505.900
2021-06-25;66,1658;66,191;64,8059;65,2844;2.508.155;163.652.837
2021-06-24;66,1574;66,7702;65,8384;66,191;2.561.328;169.793.200
2021-06-23;66,7282;67,0556;65,7125;65,7293;2.090.620;138.251.162
2021-06-22;66,703;66,703;65,8216;66,5939;2.377.378;157.811.168
2021-06-21;63,9664;66,6863;63,2445;66,6191;3.405.409;223.219.105
2021-06-18;66,5016;66,9465;64,4281;64,7051;6.906.921;450.250.127
2021-06-17;66,107;67,4837;66,107;66,703;2.841.591;190.093.361
2021-06-16;66,7198;67,0052;65,0157;66,3505;3.654.151;240.874.578
2021-06-15;66,5268;66,8709;66,1826;66,5016;1.952.275;129.834.511
2021-06-14;67,0808;67,2991;66,2497;66,2497;2.101.092;139.763.989
2021-06-11;66,0567;66,9297;65,7712;66,9297;2.113.709;140.709.788
2021-06-10;65,8888;66,51;65,0997;65,6201;2.332.215;153.496.660
2021-06-09;66,2665;66,6359;65,0997;65,7964;2.354.126;154.884.919
2021-06-08;67,2067;67,2319;65,6789;66,3085;2.417.255;160.419.384
2021-06-07;66,6527;67,5005;66,5687;67,2739;2.104.890;141.500.973
2021-06-04;67,1144;67,3998;66,2917;66,7702;2.083.200;139.255.106
2021-06-03;66,3169;67,341;65,9307;67,1144;3.270.815;218.581.174
2021-06-02;65,6957;66,1742;65,3767;66,0902;2.290.551;150.922.578
2021-06-01;64,6212;65,83;64,6044;65,5782;2.895.442;189.808.638
2021-05-31;64,2686;64,5121;63,8405;63,9412;1.464.536;93.888.072
2021-05-28;65,4774;65,5026;63,9412;64,3358;3.039.410;196.127.599
2021-05-27;64,8898;65,83;63,8993;65,3683;5.907.567;385.333.607
2021-05-26;64,6632;65,2004;63,9916;65,0913;2.881.699;186.788.530
2021-05-25;64,0504;64,6632;63,8405;64,3358;3.423.325;220.211.972
2021-05-21;63,3033;63,8489;63,2949;63,404;3.440.524;218.440.764
